nazwa,komenda
NPC Wildhunt sword 2,additem('NPC Wildhunt sword 2')
Q1_axe1h_mq2024_spirit,additem('Q1_axe1h_mq2024_spirit')
Q1_pickaxe1h,additem('Q1_pickaxe1h')
Q1_mace1h,additem('Q1_mace1h')
Q1_brokenSpear,additem('Q1_brokenSpear')
Q2_Hammer2h,additem('Q2_Hammer2h')
Q3_DwarvenAxe2h,additem('Q3_DwarvenAxe2h')
Q2_Halberd2h,additem('Q2_Halberd2h')
Q1_Guisarme2h,additem('Q1_Guisarme2h')
Q2_Guisarme2h,additem('Q2_Guisarme2h')
Q2_Mage_Staff2h,additem('Q2_Mage_Staff2h')
Q3_Mage_Staff2h,additem('Q3_Mage_Staff2h')
Q1_Pitchfork2h,additem('Q1_Pitchfork2h')
Bandit Shield 03,additem('Bandit Shield 03')
Redanian Shield 01,additem('Redanian Shield 01')
Skellige Craite Shield 01,additem('Skellige Craite Shield 01')
Skellige Dimun Shield 01,additem('Skellige Dimun Shield 01')
Skellige Tuiseach Shield 01,additem('Skellige Tuiseach Shield 01')
Temeria Shield 01,additem('Temeria Shield 01')
scabbard_silver_zirael,additem('scabbard_silver_zirael')
Glyph quen lesser schematic,additem('Glyph quen lesser schematic')
Heavy pants 03_crafted,additem('Heavy pants 03_crafted')
Long Steel Sword Scabbard,additem('Long Steel Sword Scabbard')
maw,additem('maw')
Stammelfords dust,additem('Stammelfords dust')
Phosphorus,additem('Phosphorus')
Alchemists powder,additem('Alchemists powder')
Recipe for White Frost 2,additem('Recipe for White Frost 2')
Recipe for Dwimeritium Bomb 1,additem('Recipe for Dwimeritium Bomb 1')
Recipe for Dwimeritium Bomb 2,additem('Recipe for Dwimeritium Bomb 2')
Recipe for Dwimeritium Bomb 3,additem('Recipe for Dwimeritium Bomb 3')
Ciri gloves 01,additem('Ciri gloves 01')
scabbard_steel_1_wood,additem('scabbard_steel_1_wood')
scabbard_steel_1_02_02,additem('scabbard_steel_1_02_02')
scabbard_steel_nomansland_02,additem('scabbard_steel_nomansland_02')
scabbard_steel_nomansland_03,additem('scabbard_steel_nomansland_03')
scabbard_steel_nilfgaard_02,additem('scabbard_steel_nilfgaard_02')
scabbard_steel_novigradian_01,additem('scabbard_steel_novigradian_01')
sq304 Novigraadan sword 4,additem('sq304 Novigraadan sword 4')
scabbard_steel_skellige_01,additem('scabbard_steel_skellige_01')
Sabre Scabbard v01,additem('Sabre Scabbard v01')
Scoiatael sword 4,additem('Scoiatael sword 4')
scabbard_steel_3_02,additem('scabbard_steel_3_02')
scabbard_steel_3_01,additem('scabbard_steel_3_01')
Sabre Scabbard 02,additem('Sabre Scabbard 02')
scabbard_silver_3_03,additem('scabbard_silver_3_03')
scabbard_silver_1v_11,additem('scabbard_silver_1v_11')
DLC10_Remorse,additem('DLC10_Remorse')
Test Player Override Sword,additem('Test Player Override Sword')
Iron Poker,additem('Iron Poker')
Bag of weed,additem('Bag of weed')
Glass,additem('Glass')
Gargoyle dust,additem('Gargoyle dust')
Harpy egg,additem('Harpy egg')
Nightwraiths hair,additem('Nightwraiths hair')
Forktail plate,additem('Forktail plate')
Fogling teeth,additem('Fogling teeth')
Recipe for White Frost 3,additem('Recipe for White Frost 3')
Light armor 01r,additem('Light armor 01r')
Light armor 06r,additem('Light armor 06r')
Medium armor 07r,additem('Medium armor 07r')
Medium armor 10r,additem('Medium armor 10r')
Medium armor 11r,additem('Medium armor 11r')
Heavy armor 01r,additem('Heavy armor 01r')
Heavy armor 02r,additem('Heavy armor 02r')
Heavy armor 04r,additem('Heavy armor 04r')
Heavy armor 05r,additem('Heavy armor 05r')
Geralt mask 01 no show,additem('Geralt mask 01 no show')
Albert mask no show,additem('Albert mask no show')
sq301__key_chain,additem('sq301__key_chain')
Woman Panties 02,additem('Woman Panties 02')
Woman Panties 03,additem('Woman Panties 03')
ropes_belt_left,additem('ropes_belt_left')
ropes_belt_right,additem('ropes_belt_right')
Body torso wet hires,additem('Body torso wet hires')
Body feet HighQuality,additem('Body feet HighQuality')
Body legs wet,additem('Body legs wet')
Ciri body torso 01,additem('Ciri body torso 01')
Nithral body torso 01,additem('Nithral body torso 01')
Steel scabbard,additem('Steel scabbard')
Silver scabbard,additem('Silver scabbard')
scabbard_steel_1_01,additem('scabbard_steel_1_01')
scabbard_steel_1v_01,additem('scabbard_steel_1v_01')
scabbard_steel_2v_01,additem('scabbard_steel_2v_01')
scabbard_steel_3v_01,additem('scabbard_steel_3v_01')
scabbard_steel_gryphon_01,additem('scabbard_steel_gryphon_01')
scabbard_steel_lynx_01,additem('scabbard_steel_lynx_01')
Witcher Silver Sword Scabbard,additem('Witcher Silver Sword Scabbard')
scabbard_silver_1_01,additem('scabbard_silver_1_01')
scabbard_silver_1v_01,additem('scabbard_silver_1v_01')
scabbard_silver_1v_02,additem('scabbard_silver_1v_02')
scabbard_silver_1_10,additem('scabbard_silver_1_10')
scabbard_silver_2v_01,additem('scabbard_silver_2v_01')
scabbard_silver_3v_01,additem('scabbard_silver_3v_01')
scabbard_silver_bear_01,additem('scabbard_silver_bear_01')
scabbard_silver_gryphon_01,additem('scabbard_silver_gryphon_01')
scabbard_silver_lynx_01,additem('scabbard_silver_lynx_01')
Sabre Scabbard 01_2,additem('Sabre Scabbard 01_2')
Sabre Scabbard 01_3,additem('Sabre Scabbard 01_3')
Sabre Scabbard v02,additem('Sabre Scabbard v02')
Sabre Scabbard 07,additem('Sabre Scabbard 07')
Nilfgaardian Casual Suit 01 no show,additem('Nilfgaardian Casual Suit 01 no show')
Skellige casual shoes no show,additem('Skellige casual shoes no show')
Skellige Casual Pants 01 no show,additem('Skellige Casual Pants 01 no show')
Thief Armor,additem('Thief Armor')
Thief Armor B,additem('Thief Armor B')
Thief Armor Y,additem('Thief Armor Y')
Geralt Kontusz R,additem('Geralt Kontusz R')
Ofir Armor B,additem('Ofir Armor B')
Burning Rose Armor,additem('Burning Rose Armor')
Burning Rose Armor B,additem('Burning Rose Armor B')
q704_vampire_armor,additem('q704_vampire_armor')
Beauclair Prison Shirt,additem('Beauclair Prison Shirt')
DLC14 Skellige Armor,additem('DLC14 Skellige Armor')
ore_oxenfurt,additem('ore_oxenfurt')
Novigraadan sword 2_crafted,additem('Novigraadan sword 2_crafted')
Novigraadan sword 3_crafted,additem('Novigraadan sword 3_crafted')
Skellige sword 3_crafted,additem('Skellige sword 3_crafted')
Scoiatael sword 1_crafted,additem('Scoiatael sword 1_crafted')
Scoiatael sword 4_crafted,additem('Scoiatael sword 4_crafted')
Silver sword 5_crafted,additem('Silver sword 5_crafted')
Spear 1,additem('Spear 1')
Wild Hunt Spear,additem('Wild Hunt Spear')
Halberd 1,additem('Halberd 1')
Dwarven Axe,additem('Dwarven Axe')
Twohanded Hammer 1,additem('Twohanded Hammer 1')
Club,additem('Club')
Blackjack,additem('Blackjack')
Poker,additem('Poker')
Staff,additem('Staff')
Lucerne Hammer,additem('Lucerne Hammer')
Wand,additem('Wand')
Pickaxe,additem('Pickaxe')
Shovel,additem('Shovel')
Broom_Not_Work,additem('Broom_Not_Work')
Paling,additem('Paling')
Pitchfork,additem('Pitchfork')
Rake,additem('Rake')
Scoop,additem('Scoop')
Scythe,additem('Scythe')
Shepard Stick,additem('Shepard Stick')
halberd,additem('halberd')
Bow 1,additem('Bow 1')
Bow 2,additem('Bow 2')
Long bow 1,additem('Long bow 1')
Long bow 2,additem('Long bow 2')
Dwarven crossbow,additem('Dwarven crossbow')
poor_garden_shears,additem('poor_garden_shears')
baguette,additem('baguette')
rich_trumpet,additem('rich_trumpet')
gen_open_book_a,additem('gen_open_book_a')
drawknife,additem('drawknife')
sq703_megascope_switch,additem('sq703_megascope_switch')
q703_bung_work,additem('q703_bung_work')
q703_wooden_hammer_work,additem('q703_wooden_hammer_work')
perfume_bottle,additem('perfume_bottle')
makeup_puff,additem('makeup_puff')
makeup_brush,additem('makeup_brush')
rich_flower,additem('rich_flower')
rich_flower_lefthand,additem('rich_flower_lefthand')
rich_umbrella,additem('rich_umbrella')
gen_bucket_c,additem('gen_bucket_c')
poi_bar_a_05_note,additem('poi_bar_a_05_note')
poi_bar_a_10_key,additem('poi_bar_a_10_key')
poi_bar_a_12_note,additem('poi_bar_a_12_note')
camm_poi_ved_a_05,additem('camm_poi_ved_a_05')
camm_poi_bar_b_04,additem('camm_poi_bar_b_04')
camm_poi_ved_a_02,additem('camm_poi_ved_a_02')
camm_poi_ved_a_01,additem('camm_poi_ved_a_01')
camm_poi_bar_a_01,additem('camm_poi_bar_a_01')
camm_poi_bar_a_02,additem('camm_poi_bar_a_02')
camm_poi_bar_a_12,additem('camm_poi_bar_a_12')
camm_poi_bar_a_03,additem('camm_poi_bar_a_03')
camm_poi_car_b_03,additem('camm_poi_car_b_03')
camm_poi_gor_c_03,additem('camm_poi_gor_c_03')
camm_poi_gor_d_06,additem('camm_poi_gor_d_06')
camm_poi_gor_d_07,additem('camm_poi_gor_d_07')
poi_car_a_11_note,additem('poi_car_a_11_note')
poi_car_b_08_note,additem('poi_car_b_08_note')
poi_car_b_08_key,additem('poi_car_b_08_key')
poi_car_b_10_note_02,additem('poi_car_b_10_note_02')
poi_car_b_10_note,additem('poi_car_b_10_note')
poi_car_b_10_key,additem('poi_car_b_10_key')
poi_dun_b_03_note,additem('poi_dun_b_03_note')
poi_gor_a_09_note,additem('poi_gor_a_09_note')
poi_gor_a_10_key,additem('poi_gor_a_10_key')
poi_gor_a_10_vine_edible,additem('poi_gor_a_10_vine_edible')
poi_gor_a_10_vine,additem('poi_gor_a_10_vine')
poi_gor_a_10_note,additem('poi_gor_a_10_note')
poi_gor_b_04_note,additem('poi_gor_b_04_note')
poi_gor_b_04_key,additem('poi_gor_b_04_key')
poi_gor_b_13_note,additem('poi_gor_b_13_note')
poi_gor_c_03_note,additem('poi_gor_c_03_note')
poi_gor_c_14_note,additem('poi_gor_c_14_note')
poi_gor_d_05_note,additem('poi_gor_d_05_note')
poi_gor_d_06_note04,additem('poi_gor_d_06_note04')
poi_gor_d_06_note03,additem('poi_gor_d_06_note03')
poi_gor_d_06_note,additem('poi_gor_d_06_note')
poi_gor_d_17_note_b,additem('poi_gor_d_17_note_b')
poi_gor_d_06_note02,additem('poi_gor_d_06_note02')
poi_gor_d_20_key,additem('poi_gor_d_20_key')
poi_ww_coronata_note_camp,additem('poi_ww_coronata_note_camp')
poi_ww_coronata_note_stash,additem('poi_ww_coronata_note_stash')
poi_ww_vermentino_note_camp,additem('poi_ww_vermentino_note_camp')
poi_ww_vermentino_key,additem('poi_ww_vermentino_key')
poi_ww_vermentino_note_stash,additem('poi_ww_vermentino_note_stash')
poi_ww_belg_final_key,additem('poi_ww_belg_final_key')
wine_wars_belgard_notice,additem('wine_wars_belgard_notice')
poi_ww_belgard_secret_plot_proper_note,additem('poi_ww_belgard_secret_plot_proper_note')
poi_ww_belgard_secret_plot_failsafe_note,additem('poi_ww_belgard_secret_plot_failsafe_note')
poi_ww_coronata_key,additem('poi_ww_coronata_key')
poi_ww_ver_10_note,additem('poi_ww_ver_10_note')
poi_ww_cor_03_note,additem('poi_ww_cor_03_note')
poi_ww_cor_02_note,additem('poi_ww_cor_02_note')
poi_vin_b_06_b,additem('poi_vin_b_06_b')
poi_vin_b_06_note,additem('poi_vin_b_06_note')
poi_san_a_01_note,additem('poi_san_a_01_note')
poi_san_a_01_key,additem('poi_san_a_01_key')
poi_san_b_02_note,additem('poi_san_b_02_note')
poi_car_b_09_note,additem('poi_car_b_09_note')
poi_ved_a_04_note,additem('poi_ved_a_04_note')
poi_san_b_02_key,additem('poi_san_b_02_key')
poi_ved_a_02_note,additem('poi_ved_a_02_note')
poi_ved_a_03_note,additem('poi_ved_a_03_note')
poi_ved_a_03_key,additem('poi_ved_a_03_key')
poi_vin_b_05_note02,additem('poi_vin_b_05_note02')
poi_vin_b_05_key,additem('poi_vin_b_05_key')
NPC Knights steel sword 1,additem('NPC Knights steel sword 1')
milton_shield,additem('milton_shield')
NPC Knight steel sword,additem('NPC Knight steel sword')
Damien sword,additem('Damien sword')
mq7020_le_papillon_lute,additem('mq7020_le_papillon_lute')
NPC Guard lvl1 Sword,additem('NPC Guard lvl1 Sword')
dettlaff_arm,additem('dettlaff_arm')
q703_paint_bomb_purple,additem('q703_paint_bomb_purple')
q703_paint_bomb_yellow,additem('q703_paint_bomb_yellow')
q703_paint_bomb_blue,additem('q703_paint_bomb_blue')
q703_paint_bomb_green,additem('q703_paint_bomb_green')
NPC Gregoire Sword,additem('NPC Gregoire Sword')
Beauclair elegant suit,additem('Beauclair elegant suit')
Beauclair elegant pants,additem('Beauclair elegant pants')
Beauclair elegant shoes,additem('Beauclair elegant shoes')
Only Geralt mandragora mask,additem('Only Geralt mandragora mask')
Anarietta mandragora mask,additem('Anarietta mandragora mask')
q704_ft_goose_key,additem('q704_ft_goose_key')
Golden ball,additem('Golden ball')
Golden thread,additem('Golden thread')
Magic food,additem('Magic food')
Beauclair Casual Suit 01,additem('Beauclair Casual Suit 01')
Beauclair casual shoes 01,additem('Beauclair casual shoes 01')
Beauclair Casual Pants 01,additem('Beauclair Casual Pants 01')
Beauclair Prison Pants,additem('Beauclair Prison Pants')
Beauclair Casual Suit with medal,additem('Beauclair Casual Suit with medal')
Body torso nobelts,additem('Body torso nobelts')
q705_bond,additem('q705_bond')
q701_nml_notice,additem('q701_nml_notice')
mq7024_painting_novigrad_dandelion,additem('mq7024_painting_novigrad_dandelion')
q705_regis_reward_letter,additem('q705_regis_reward_letter')
cg700_tournament,additem('cg700_tournament')
mq7001_notice,additem('mq7001_notice')
mq7004_notice,additem('mq7004_notice')
Aerondight EP2,additem('Aerondight EP2')
mq7006_notice,additem('mq7006_notice')
mq7010_quarry_contract,additem('mq7010_quarry_contract')
mq7018_contract,additem('mq7018_contract')
mq7021_left_behind_contract,additem('mq7021_left_behind_contract')
mq7023_contract,additem('mq7023_contract')
mq7024_vineyard_key,additem('mq7024_vineyard_key')
mh701_contract,additem('mh701_contract')
sq701_geralt_boots,additem('sq701_geralt_boots')
sq703_contract,additem('sq703_contract')
ep1_poi_01_key,additem('ep1_poi_01_key')
ep1_poi_02_key_1,additem('ep1_poi_02_key_1')
ep1_poi_02_note,additem('ep1_poi_02_note')
ep1_poi_04_key,additem('ep1_poi_04_key')
ep1_poi_04_note,additem('ep1_poi_04_note')
ep1_poi_05_key,additem('ep1_poi_05_key')
ep1_poi_05_note,additem('ep1_poi_05_note')
ep1_poi_08_note_a,additem('ep1_poi_08_note_a')
ep1_poi_10_key,additem('ep1_poi_10_key')
ep1_poi_10_note,additem('ep1_poi_10_note')
ep1_poi_26_note,additem('ep1_poi_26_note')
ep1_poi_26_key,additem('ep1_poi_26_key')
ep1_poi_26_note_b,additem('ep1_poi_26_note_b')
ep1_poi_26_key_b,additem('ep1_poi_26_key_b')
q603_auctioned_painting,additem('q603_auctioned_painting')
q603_magister_glasses,additem('q603_magister_glasses')
q603_antique_statue,additem('q603_antique_statue')
q603_olgierds_letters,additem('q603_olgierds_letters')
q603_hoff_letter,additem('q603_hoff_letter')
q602_letter_from_witold,additem('q602_letter_from_witold')
mq6002_contract,additem('mq6002_contract')
mq6003_tax_bill,additem('mq6003_tax_bill')
mq6004_lab_key,additem('mq6004_lab_key')
NPC Burning Rose Sword,additem('NPC Burning Rose Sword')
mq6004_broken_rose_orders,additem('mq6004_broken_rose_orders')
mq6005_nephrite,additem('mq6005_nephrite')
mq6005_painite,additem('mq6005_painite')
mq6005_pickaxe,additem('mq6005_pickaxe')
mq6005_notice,additem('mq6005_notice')
NPC Olgierd Sabre,additem('NPC Olgierd Sabre')
q601_contract,additem('q601_contract')
q601_sewers_key,additem('q601_sewers_key')
q601_redanian_orders,additem('q601_redanian_orders')
q602_wrong_shoe_2,additem('q602_wrong_shoe_2')
q602_wrong_shoe_1,additem('q602_wrong_shoe_1')
q602_donkey_ears,additem('q602_donkey_ears')
q602_donkey_ears_no_show,additem('q602_donkey_ears_no_show')
Body palms cut,additem('Body palms cut')
q602_cap,additem('q602_cap')
q602_shani_shoe,additem('q602_shani_shoe')
NPC Plank,additem('NPC Plank')
Plank,additem('Plank')
q602_pig_contest_trophy,additem('q602_pig_contest_trophy')
q602_graverobber_key,additem('q602_graverobber_key')
q602_olgierd_blood,additem('q602_olgierd_blood')
Censer,additem('Censer')
Thief Armor No Medallion,additem('Thief Armor No Medallion')
Thief Pants B,additem('Thief Pants B')
Thief Gloves B,additem('Thief Gloves B')
Thief Boots B,additem('Thief Boots B')
q603_max_house,additem('q603_max_house')
q603_dwarf_wooden_sword,additem('q603_dwarf_wooden_sword')
Torch Blunt Burning,additem('Torch Blunt Burning')
q603_foltest_mask,additem('q603_foltest_mask')
q603_foltest_mask_no_show,additem('q603_foltest_mask_no_show')
q603_diarrhea_potion,additem('q603_diarrhea_potion')
q604_olgierd_pipe,additem('q604_olgierd_pipe')
q604_olgierd_knife,additem('q604_olgierd_knife')
q604_bed_oillamp,additem('q604_bed_oillamp')
q604_dressing_gown,additem('q604_dressing_gown')
q604_wedding_veil,additem('q604_wedding_veil')
q604_wedding_flowers,additem('q604_wedding_flowers')
q604_mansion_back_key,additem('q604_mansion_back_key')
q604_mansion_front_key,additem('q604_mansion_front_key')
q604_gazebo_teaset,additem('q604_gazebo_teaset')
q604_iris_flower,additem('q604_iris_flower')
q604_rose_painting,additem('q604_rose_painting')
q604_tray,additem('q604_tray')
q604_dog_bowl,additem('q604_dog_bowl')
q604_cat_bowl,additem('q604_cat_bowl')
q604_mug,additem('q604_mug')
q604_paper_shred1,additem('q604_paper_shred1')
q604_demon_book,additem('q604_demon_book')
q604_genie_book,additem('q604_genie_book')
q604_candles,additem('q604_candles')
q604_chalk,additem('q604_chalk')
q604_fruit_bowl,additem('q604_fruit_bowl')
q604_chalice,additem('q604_chalice')
Q604 Olgierd Sabre,additem('Q604 Olgierd Sabre')
q604_bloody_towel,additem('q604_bloody_towel')
q604_cup,additem('q604_cup')
q604_paint_palette,additem('q604_paint_palette')
q604_worn_book,additem('q604_worn_book')
q604_comb,additem('q604_comb')
q604_small_painting,additem('q604_small_painting')
q604_sketchbook,additem('q604_sketchbook')
q604_iris_remains,additem('q604_iris_remains')
q605_black_magic_book,additem('q605_black_magic_book')
th1009_map_wolf_upgrade3b,additem('th1009_map_wolf_upgrade3b')
th1009_map_wolf_upgrade2b,additem('th1009_map_wolf_upgrade2b')
th1009_map_wolf_upgrade3,additem('th1009_map_wolf_upgrade3')
th1009_map_wolf_upgrade1a,additem('th1009_map_wolf_upgrade1a')
th1009_map_wolf_upgrade1b,additem('th1009_map_wolf_upgrade1b')
th1009_map_wolf_upgrade2,additem('th1009_map_wolf_upgrade2')
mq2052_contract,additem('mq2052_contract')
mq1058_contract,additem('mq1058_contract')
mq1058_cat_note,additem('mq1058_cat_note')
mq1058_cat_school_sword,additem('mq1058_cat_school_sword')
mq1058_drawing,additem('mq1058_drawing')
mq1058_cat_medallion,additem('mq1058_cat_medallion')
DLC1 Temerian HorseBag,additem('DLC1 Temerian HorseBag')
DLC1 Temerian HorseBlinders,additem('DLC1 Temerian HorseBlinders')
DLC1 Temerian HorseSaddle,additem('DLC1 Temerian HorseSaddle')
ep1_poi_05_02_note,additem('ep1_poi_05_02_note')
ep1_poi_08_key,additem('ep1_poi_08_key')
th1010_pants_note,additem('th1010_pants_note')
ep1_poi_08_note_b,additem('ep1_poi_08_note_b')
